NAME,YEAR,YEAR_TOTAL,Problem_With_Counter,MONTH,MONTH_NUMBER,VISITORS
Albany Park  ,2011,117425,False,JAN,1,9604
Albany Park  ,2011,117425,False,FEB,2,10500
Albany Park  ,2011,117425,False,MAR,3,9050
Albany Park  ,2011,117425,False,APR,4,9300
Albany Park  ,2011,117425,False,MAY,5,8271
Albany Park  ,2011,117425,False,JUN,6,10984
Albany Park  ,2011,117425,False,JUL,7,9986
Albany Park  ,2011,117425,False,AUG,8,11078
Albany Park  ,2011,117425,False,SEP,9,9453
Albany Park  ,2011,117425,False,OCT,10,10213
Albany Park  ,2011,117425,False,NOV,11,9377
Albany Park  ,2011,117425,False,DEC,12,9609
Altgeld  ,2011,58657,False,JAN,1,5809
Altgeld  ,2011,58657,False,FEB,2,3899
Altgeld  ,2011,58657,False,MAR,3,5207
Altgeld  ,2011,58657,False,APR,4,5201
Altgeld  ,2011,58657,False,MAY,5,4494
Altgeld  ,2011,58657,False,JUN,6,5760
Altgeld  ,2011,58657,False,JUL,7,3653
Altgeld  ,2011,58657,False,AUG,8,2414
Altgeld  ,2011,58657,False,SEP,9,4552
Altgeld  ,2011,58657,False,OCT,10,6891
Altgeld  ,2011,58657,False,NOV,11,5698
Altgeld  ,2011,58657,False,DEC,12,5079
Archer Heights,2011,124653,True,JAN,1,9829
Archer Heights,2011,124653,True,FEB,2,9394
Archer Heights,2011,124653,True,MAR,3,11342
Archer Heights,2011,124653,True,APR,4,11114
Archer Heights,2011,124653,True,MAY,5,9365
Archer Heights,2011,124653,True,JUN,6,11247
Archer Heights,2011,124653,True,JUL,7,10329
Archer Heights,2011,124653,True,AUG,8,11231
Archer Heights,2011,124653,True,SEP,9,10373
Archer Heights,2011,124653,True,OCT,10,11364
Archer Heights,2011,124653,True,NOV,11,10011
Archer Heights,2011,124653,True,DEC,12,9054
Austin ,2011,102306,False,JAN,1,6713
Austin ,2011,102306,False,FEB,2,6250
Austin ,2011,102306,False,MAR,3,7054
Austin ,2011,102306,False,APR,4,9139
Austin ,2011,102306,False,MAY,5,8857
Austin ,2011,102306,False,JUN,6,9586
Austin ,2011,102306,False,JUL,7,8352
Austin ,2011,102306,False,AUG,8,10359
Austin ,2011,102306,False,SEP,9,9151
Austin ,2011,102306,False,OCT,10,10016
Austin ,2011,102306,False,NOV,11,8461
Austin ,2011,102306,False,DEC,12,8368
Austin-Irving  ,2011,145852,False,JAN,1,11556
Austin-Irving  ,2011,145852,False,FEB,2,9904
Austin-Irving  ,2011,145852,False,MAR,3,13214
Austin-Irving  ,2011,145852,False,APR,4,13064
Austin-Irving  ,2011,145852,False,MAY,5,10969
Austin-Irving  ,2011,145852,False,JUN,6,12587
Austin-Irving  ,2011,145852,False,JUL,7,12596
Austin-Irving  ,2011,145852,False,AUG,8,13638
Austin-Irving  ,2011,145852,False,SEP,9,12542
Austin-Irving  ,2011,145852,False,OCT,10,13286
