NAME,YEAR,TOTAL_VISITORS_YEAR,Problem_With_Counter,MONTH,MONTH_NUMBER,VISITOR_COUNT
Albany Park  ,2014,53116,False,JAN,1,0
Albany Park  ,2014,53116,False,FEB,2,0
Albany Park  ,2014,53116,False,MAR,3,11
Albany Park  ,2014,53116,False,APR,4,13
Albany Park  ,2014,53116,False,MAY,5,10
Albany Park  ,2014,53116,False,JUN,6,24
Albany Park  ,2014,53116,False,JUL,7,0
Albany Park  ,2014,53116,False,AUG,8,0
Albany Park  ,2014,53116,False,SEP,9,12446
Albany Park  ,2014,53116,False,OCT,10,16239
Albany Park  ,2014,53116,False,NOV,11,12440
Albany Park  ,2014,53116,False,DEC,12,11933
Altgeld  ,2014,61270,False,JAN,1,4702
Altgeld  ,2014,61270,False,FEB,2,4498
Altgeld  ,2014,61270,False,MAR,3,4490
Altgeld  ,2014,61270,False,APR,4,5176
Altgeld  ,2014,61270,False,MAY,5,4820
Altgeld  ,2014,61270,False,JUN,6,5406
Altgeld  ,2014,61270,False,JUL,7,5810
Altgeld  ,2014,61270,False,AUG,8,5735
Altgeld  ,2014,61270,False,SEP,9,5953
Altgeld  ,2014,61270,False,OCT,10,5336
Altgeld  ,2014,61270,False,NOV,11,4724
Altgeld  ,2014,61270,False,DEC,12,4620
Archer Heights,2014,107148,True,JAN,1,6747
Archer Heights,2014,107148,True,FEB,2,7268
Archer Heights,2014,107148,True,MAR,3,9446
Archer Heights,2014,107148,True,APR,4,9525
Archer Heights,2014,107148,True,MAY,5,8464
Archer Heights,2014,107148,True,JUN,6,8944
Archer Heights,2014,107148,True,JUL,7,10171
Archer Heights,2014,107148,True,AUG,8,8905
Archer Heights,2014,107148,True,SEP,9,9638
Archer Heights,2014,107148,True,OCT,10,11239
Archer Heights,2014,107148,True,NOV,11,8872
Archer Heights,2014,107148,True,DEC,12,7929
Austin ,2014,82548,False,JAN,1,5517
Austin ,2014,82548,False,FEB,2,4864
Austin ,2014,82548,False,MAR,3,6572
Austin ,2014,82548,False,APR,4,7287
Austin ,2014,82548,False,MAY,5,6578
Austin ,2014,82548,False,JUN,6,7836
Austin ,2014,82548,False,JUL,7,9356
Austin ,2014,82548,False,AUG,8,8088
Austin ,2014,82548,False,SEP,9,7438
Austin ,2014,82548,False,OCT,10,7515
Austin ,2014,82548,False,NOV,11,5519
