NAME,YEAR,YEAR_TOTAL,MONTH,MONTH_NUMBER,VISITORS,Problem_With_Counter
Albany Park,2019,130255,JAN,1,10405,False
Albany Park,2019,130255,FEB,2,10594,False
Albany Park,2019,130255,MAR,3,11498,False
Albany Park,2019,130255,APR,4,10867,False
Albany Park,2019,130255,MAY,5,10395,False
Albany Park,2019,130255,JUN,6,11171,False
Albany Park,2019,130255,JUL,7,11532,False
Albany Park,2019,130255,AUG,8,11387,False
Albany Park,2019,130255,SEP,9,11534,False
Albany Park,2019,130255,OCT,10,11677,False
Albany Park,2019,130255,NOV,11,9741,False
Albany Park,2019,130255,DEC,12,9454,False
Altgeld,2019,28196,JAN,1,2083,False
Altgeld,2019,28196,FEB,2,2358,False
Altgeld,2019,28196,MAR,3,2380,False
Altgeld,2019,28196,APR,4,2127,False
Altgeld,2019,28196,MAY,5,2247,False
Altgeld,2019,28196,JUN,6,2484,False
Altgeld,2019,28196,JUL,7,2578,False
Altgeld,2019,28196,AUG,8,2512,False
Altgeld,2019,28196,SEP,9,2462,False
Altgeld,2019,28196,OCT,10,2678,False
Altgeld,2019,28196,NOV,11,2014,False
Altgeld,2019,28196,DEC,12,2273,False
Archer Heights,2019,86593,JAN,1,6378,False
Archer Heights,2019,86593,FEB,2,7521,False
Archer Heights,2019,86593,MAR,3,7809,False
Archer Heights,2019,86593,APR,4,7824,False
Archer Heights,2019,86593,MAY,5,7162,False
Archer Heights,2019,86593,JUN,6,6952,False
Archer Heights,2019,86593,JUL,7,7835,False
Archer Heights,2019,86593,AUG,8,7536,False
Archer Heights,2019,86593,SEP,9,6908,False
Archer Heights,2019,86593,OCT,10,8219,False
Archer Heights,2019,86593,NOV,11,6679,False
Archer Heights,2019,86593,DEC,12,5770,False
Austin,2019,77480,JAN,1,4878,False
Austin,2019,77480,FEB,2,5391,False
Austin,2019,77480,MAR,3,5655,False
Austin,2019,77480,APR,4,5378,False
Austin,2019,77480,MAY,5,5178,False
Austin,2019,77480,JUN,6,5895,False
Austin,2019,77480,JUL,7,7399,False
Austin,2019,77480,AUG,8,7962,False
Austin,2019,77480,SEP,9,6299,False
Austin,2019,77480,OCT,10,7604,False
Austin,2019,77480,NOV,11,8128,False
Austin,2019,77480,DEC,12,7713,False
Austin-Irving,2019,109080,JAN,1,8003,False
Austin-Irving,2019,109080,FEB,2,8879,False
Austin-Irving,2019,109080,MAR,3,9627,False
Austin-Irving,2019,109080,APR,4,8853,False
Austin-Irving,2019,109080,MAY,5,9172,False
Austin-Irving,2019,109080,JUN,6,9897,False
Austin-Irving,2019,109080,JUL,7,10441,False
Austin-Irving,2019,109080,AUG,8,10110,False
Austin-Irving,2019,109080,SEP,9,9031,False
Austin-Irving,2019,109080,OCT,10,10054,False
Austin-Irving,2019,109080,NOV,11,8060,False
Austin-Irving,2019,109080,DEC,12,6953,False
Avalon,2019,104662,JAN,1,7925,False
Avalon,2019,104662,FEB,2,8093,False
Avalon,2019,104662,MAR,3,8748,False
Avalon,2019,104662,APR,4,11392,False
Avalon,2019,104662,MAY,5,8896,False
Avalon,2019,104662,JUN,6,7870,False
Avalon,2019,104662,JUL,7,9318,False
Avalon,2019,104662,AUG,8,9045,False
Avalon,2019,104662,SEP,9,8389,False
Avalon,2019,104662,OCT,10,10385,False
Avalon,2019,104662,NOV,11,7523,False
Avalon,2019,104662,DEC,12,7078,False
Back of the Yards,2019,44989,JAN,1,3382,False
Back of the Yards,2019,44989,FEB,2,3235,False
Back of the Yards,2019,44989,MAR,3,3990,False
Back of the Yards,2019,44989,APR,4,3864,False
Back of the Yards,2019,44989,MAY,5,4310,False
Back of the Yards,2019,44989,JUN,6,3670,False
Back of the Yards,2019,44989,JUL,7,4447,False
Back of the Yards,2019,44989,AUG,8,4243,False
Back of the Yards,2019,44989,SEP,9,3801,False
Back of the Yards,2019,44989,OCT,10,4173,False
Back of the Yards,2019,44989,NOV,11,3007,False
Back of the Yards,2019,44989,DEC,12,2867,False
Beverly,2019,76336,JAN,1,5727,False
Beverly,2019,76336,FEB,2,6496,False
Beverly,2019,76336,MAR,3,6627,False
Beverly,2019,76336,APR,4,6492,False
Beverly,2019,76336,MAY,5,7135,False
Beverly,2019,76336,JUN,6,6496,False
Beverly,2019,76336,JUL,7,6890,False
Beverly,2019,76336,AUG,8,6275,False
Beverly,2019,76336,SEP,9,6777,False
Beverly,2019,76336,OCT,10,7333,False
Beverly,2019,76336,NOV,11,6761,False
Beverly,2019,76336,DEC,12,3327,False
Bezazian,2019,121571,JAN,1,9666,False
Bezazian,2019,121571,FEB,2,8634,False
Bezazian,2019,121571,MAR,3,9543,False
Bezazian,2019,121571,APR,4,10704,False
Bezazian,2019,121571,MAY,5,10433,False
Bezazian,2019,121571,JUN,6,10540,False
Bezazian,2019,121571,JUL,7,11867,False
Bezazian,2019,121571,AUG,8,12265,False
Bezazian,2019,121571,SEP,9,9769,False
Bezazian,2019,121571,OCT,10,11981,False
Bezazian,2019,121571,NOV,11,9164,False
Bezazian,2019,121571,DEC,12,7005,False
Blackstone,2019,94358,JAN,1,7440,False
Blackstone,2019,94358,FEB,2,6986,False
Blackstone,2019,94358,MAR,3,8107,False
Blackstone,2019,94358,APR,4,8534,False
Blackstone,2019,94358,MAY,5,7677,False
Blackstone,2019,94358,JUN,6,8143,False
Blackstone,2019,94358,JUL,7,9601,False
Blackstone,2019,94358,AUG,8,8850,False
Blackstone,2019,94358,SEP,9,7733,False
Blackstone,2019,94358,OCT,10,7779,False
Blackstone,2019,94358,NOV,11,7112,False
Blackstone,2019,94358,DEC,12,6396,False
Brainerd,2019,60027,JAN,1,5057,False
Brainerd,2019,60027,FEB,2,6719,False
Brainerd,2019,60027,MAR,3,5235,False
Brainerd,2019,60027,APR,4,6594,False
Brainerd,2019,60027,MAY,5,6380,False
Brainerd,2019,60027,JUN,6,7204,False
Brainerd,2019,60027,JUL,7,4534,False
Brainerd,2019,60027,AUG,8,4690,False
Brainerd,2019,60027,SEP,9,3680,False
Brainerd,2019,60027,OCT,10,4456,False
Brainerd,2019,60027,NOV,11,3039,False
Brainerd,2019,60027,DEC,12,2439,False
Brighton Park,2019,55686,JAN,1,4444,False
Brighton Park,2019,55686,FEB,2,4593,False
Brighton Park,2019,55686,MAR,3,4480,False
