NAME,YEAR,TOTAL_VISITORS_YEAR,PROBLEM_WITH_COUNTER,MONTH,MONTH_NUMBER,VISITOR_COUNT
POINT (-87.533513 41.70272),2020,24651,False,JAN,1.0,1319
POINT (-87.533513 41.70272),2020,24651,False,FEB,2.0,4556
POINT (-87.533513 41.70272),2020,24651,False,MAR,3.0,3103
POINT (-87.533513 41.70272),2020,24651,False,APR,4.0,0
POINT (-87.533513 41.70272),2020,24651,False,MAY,5.0,0
POINT (-87.533513 41.70272),2020,24651,False,JUN,6.0,2814
POINT (-87.533513 41.70272),2020,24651,False,JUL,7.0,2295
POINT (-87.533513 41.70272),2020,24651,False,AUG,8.0,2861
POINT (-87.533513 41.70272),2020,24651,False,SEP,9.0,1889
POINT (-87.533513 41.70272),2020,24651,False,OCT,10.0,1849
POINT (-87.533513 41.70272),2020,24651,False,NOV,11.0,1912
POINT (-87.533513 41.70272),2020,24651,False,DEC,12.0,2053
POINT (-87.533513 41.70272),2020,24651,False,BRANCH,,Vodak-East Side
POINT (-87.548914 41.65915300000001),2020,18922,False,JAN,1.0,3017
POINT (-87.548914 41.65915300000001),2020,18922,False,FEB,2.0,2785
POINT (-87.548914 41.65915300000001),2020,18922,False,MAR,3.0,2064
POINT (-87.548914 41.65915300000001),2020,18922,False,APR,4.0,0
POINT (-87.548914 41.65915300000001),2020,18922,False,MAY,5.0,0
POINT (-87.548914 41.65915300000001),2020,18922,False,JUN,6.0,1378
POINT (-87.548914 41.65915300000001),2020,18922,False,JUL,7.0,1832
POINT (-87.548914 41.65915300000001),2020,18922,False,AUG,8.0,1857
POINT (-87.548914 41.65915300000001),2020,18922,False,SEP,9.0,1698
POINT (-87.548914 41.65915300000001),2020,18922,False,OCT,10.0,1998
POINT (-87.548914 41.65915300000001),2020,18922,False,NOV,11.0,961
POINT (-87.548914 41.65915300000001),2020,18922,False,DEC,12.0,1332
POINT (-87.548914 41.65915300000001),2020,18922,False,BRANCH,,Hegewisch
POINT (-87.549849 41.730371),2020,32499,False,JAN,1.0,6489
POINT (-87.549849 41.730371),2020,32499,False,FEB,2.0,6023
POINT (-87.549849 41.730371),2020,32499,False,MAR,3.0,3457
POINT (-87.549849 41.730371),2020,32499,False,APR,4.0,0
POINT (-87.549849 41.730371),2020,32499,False,MAY,5.0,0
POINT (-87.549849 41.730371),2020,32499,False,JUN,6.0,2055
POINT (-87.549849 41.730371),2020,32499,False,JUL,7.0,2827
POINT (-87.549849 41.730371),2020,32499,False,AUG,8.0,3213
POINT (-87.549849 41.730371),2020,32499,False,SEP,9.0,3161
POINT (-87.549849 41.730371),2020,32499,False,OCT,10.0,3210
POINT (-87.549849 41.730371),2020,32499,False,NOV,11.0,2064
POINT (-87.549849 41.730371),2020,32499,False,DEC,12.0,0
POINT (-87.549849 41.730371),2020,32499,False,BRANCH,,South Chicago
POINT (-87.563672 41.762654),2020,5115,False,JAN,1.0,0
POINT (-87.563672 41.762654),2020,5115,False,FEB,2.0,0
POINT (-87.563672 41.762654),2020,5115,False,MAR,3.0,0
POINT (-87.563672 41.762654),2020,5115,False,APR,4.0,0
POINT (-87.563672 41.762654),2020,5115,False,MAY,5.0,0
POINT (-87.563672 41.762654),2020,5115,False,JUN,6.0,0
POINT (-87.563672 41.762654),2020,5115,False,JUL,7.0,389
POINT (-87.563672 41.762654),2020,5115,False,AUG,8.0,1086
POINT (-87.563672 41.762654),2020,5115,False,SEP,9.0,1097
POINT (-87.563672 41.762654),2020,5115,False,OCT,10.0,1262
POINT (-87.563672 41.762654),2020,5115,False,NOV,11.0,894
POINT (-87.563672 41.762654),2020,5115,False,DEC,12.0,387
POINT (-87.563672 41.762654),2020,5115,False,BRANCH,,South Shore
POINT (-87.565489 41.713513),2020,26048,False,JAN,1.0,3563
POINT (-87.565489 41.713513),2020,26048,False,FEB,2.0,3191
POINT (-87.565489 41.713513),2020,26048,False,MAR,3.0,2427
POINT (-87.565489 41.713513),2020,26048,False,APR,4.0,0
POINT (-87.565489 41.713513),2020,26048,False,MAY,5.0,0
POINT (-87.565489 41.713513),2020,26048,False,JUN,6.0,2145
POINT (-87.565489 41.713513),2020,26048,False,JUL,7.0,2561
POINT (-87.565489 41.713513),2020,26048,False,AUG,8.0,2678
POINT (-87.565489 41.713513),2020,26048,False,SEP,9.0,3099
POINT (-87.565489 41.713513),2020,26048,False,OCT,10.0,2876
POINT (-87.565489 41.713513),2020,26048,False,NOV,11.0,1811
POINT (-87.565489 41.713513),2020,26048,False,DEC,12.0,1697
