NAME,YEAR,TOTAL_VISITORS_YEAR,PROBLEM_WITH_COUNTER,MONTH,MONTH_NUMBER,VISITOR_COUNT
Albany Park,2011,117425,False,JAN,1,9604
Albany Park,2011,117425,False,FEB,2,10500
Albany Park,2011,117425,False,MAR,3,9050
Albany Park,2011,117425,False,APR,4,9300
Albany Park,2011,117425,False,MAY,5,8271
Albany Park,2011,117425,False,JUN,6,10984
Albany Park,2011,117425,False,JUL,7,9986
Albany Park,2011,117425,False,AUG,8,11078
Albany Park,2011,117425,False,SEP,9,9453
Albany Park,2011,117425,False,OCT,10,10213
Albany Park,2011,117425,False,NOV,11,9377
Albany Park,2011,117425,False,DEC,12,9609
Albany Park,2012,78485,False,JAN,1,7946
Albany Park,2012,78485,False,FEB,2,8268
Albany Park,2012,78485,False,MAR,3,10024
Albany Park,2012,78485,False,APR,4,9166
Albany Park,2012,78485,False,MAY,5,9185
Albany Park,2012,78485,False,JUN,6,9515
Albany Park,2012,78485,False,JUL,7,10298
Albany Park,2012,78485,False,AUG,8,9742
Albany Park,2012,78485,False,SEP,9,4341
Albany Park,2012,78485,False,OCT,10,0
Albany Park,2012,78485,False,NOV,11,0
Albany Park,2012,78485,False,DEC,12,0
Albany Park,2013,421,False,JAN,1,0
Albany Park,2013,421,False,FEB,2,0
Albany Park,2013,421,False,MAR,3,0
Albany Park,2013,421,False,APR,4,0
Albany Park,2013,421,False,MAY,5,0
Albany Park,2013,421,False,JUN,6,0
Albany Park,2013,421,False,JUL,7,0
Albany Park,2013,421,False,AUG,8,74
Albany Park,2013,421,False,SEP,9,105
Albany Park,2013,421,False,OCT,10,117
Albany Park,2013,421,False,NOV,11,89
Albany Park,2013,421,False,DEC,12,36
Albany Park,2014,53116,False,JAN,1,0
Albany Park,2014,53116,False,FEB,2,0
Albany Park,2014,53116,False,MAR,3,11
Albany Park,2014,53116,False,APR,4,13
Albany Park,2014,53116,False,MAY,5,10
Albany Park,2014,53116,False,JUN,6,24
Albany Park,2014,53116,False,JUL,7,0
Albany Park,2014,53116,False,AUG,8,0
Albany Park,2014,53116,False,SEP,9,12446
Albany Park,2014,53116,False,OCT,10,16239
Albany Park,2014,53116,False,NOV,11,12440
Albany Park,2014,53116,False,DEC,12,11933
Albany Park,2015,153751,False,JAN,1,8234
Albany Park,2015,153751,False,FEB,2,8979
Albany Park,2015,153751,False,MAR,3,13017
Albany Park,2015,153751,False,APR,4,12912
Albany Park,2015,153751,False,MAY,5,11979
Albany Park,2015,153751,False,JUN,6,14061
Albany Park,2015,153751,False,JUL,7,14768
Albany Park,2015,153751,False,AUG,8,13078
Albany Park,2015,153751,False,SEP,9,14156
Albany Park,2015,153751,False,OCT,10,16093
Albany Park,2015,153751,False,NOV,11,13567
Albany Park,2015,153751,False,DEC,12,12907
Albany Park,2016,159397,False,JAN,1,11735
Albany Park,2016,159397,False,FEB,2,10593
