NAME,HOURS OF OPERATION,ADDRESS,CITY,STATE,ZIP,PHONE,WEBSITE,LOCATION,TOTAL HOURS WEEK,DAY,HOURS OPEN
Vodak-East Side,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",3710 E. 106th St.,Chicago,IL,60617,(312) 747-5500,https://www.chipublib.org/locations/71/,"(41.70283443594318, -87.61428978448026)",48,MON,8
Albany Park,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",3401 W. Foster Ave.,Chicago,IL,60625,(773) 539-5450,https://www.chipublib.org/locations/3/,"(41.97557881655979, -87.71361314512697)",48,MON,8
Avalon,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",8148 S. Stony Island Ave.,Chicago,IL,60617,(312) 747-5234,https://www.chipublib.org/locations/8/,"(41.746393038286826, -87.5860053710736)",48,MON,8
Brainerd,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",1350 W. 89th St.,Chicago,IL,60620,(312) 747-6291,https://www.chipublib.org/locations/13/,"(41.73244482025524, -87.65772892721816)",48,MON,8
Popular Library at Water Works,"Mon. - Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",163 E. Pearson St.,Chicago,IL,60611,(312) 742-8811,https://www.chipublib.org/locations/73/,"(41.897484072390675, -87.62337776811282)",32,MON,8
Little Italy,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",1336 W. Taylor St.,Chicago,IL,60607,(312) 746-5656,https://www.chipublib.org/locations/62/,"(41.86946341218242, -87.66072612668584)",32,MON,8
Edgebrook,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",5331 W. Devon Ave.,Chicago,IL,60646,(312) 744-8313,https://www.chipublib.org/locations/27/,"(41.997213372156295, -87.76211751799003)",48,MON,8
Kelly,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",6151 S. Normal Blvd.,Chicago,IL,60621,(312) 747-8418,https://www.chipublib.org/locations/40/,"(41.78202569697298, -87.63738794358196)",48,MON,8
Edgewater,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",6000 N. Broadway St.,Chicago,IL,60660,(312) 742-1945,https://www.chipublib.org/locations/28/,"(41.99095923823291, -87.660442745415)",48,MON,8
North Austin,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",5724 W. North Ave.,Chicago,IL,60639,(312) 746-4233,https://www.chipublib.org/locations/54/,"(41.909444834238485, -87.76898326931509)",48,MON,8
Canaryville,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",642 W. 43rd St.,Chicago,IL,60609,(312) 747-0644,https://www.chipublib.org/locations/17/,"(41.81634394084193, -87.64256827550598)",48,MON,8
"Daley, Richard J.","Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",3400 S. Halsted St.,Chicago,IL,60608,(312) 747-8990,https://www.chipublib.org/locations/23/,"(41.8327976771251, -87.64629980794813)",48,MON,8
Manning,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",6 S. Hoyne Ave.,Chicago,IL,60612,(312) 746-6800,https://www.chipublib.org/locations/48/,"(41.88108555559726, -87.67923504553734)",48,MON,8
Portage-Cragin,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",5108 W. Belmont Ave.,Chicago,IL,60641,(312) 744-0152,https://www.chipublib.org/locations/58/,"(41.93883597361448, -87.75467117455794)",32,MON,8
"Whitney M. Young, Jr.","Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",415 East 79th St.,Chicago,IL,60619,(312) 747-0039,https://www.chipublib.org/locations/80/,"(41.7510184591363, -87.61495065361933)",48,MON,8
Greater Grand Crossing,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",1000 E. 73rd St.,Chicago,IL,60619,(312) 745-1608,https://www.chipublib.org/locations/32/,"(41.76239541819689, -87.60051216643727)",48,MON,8
Scottsdale,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",4101 W. 79th St.,Chicago,IL,60652,(312) 747-0193,https://www.chipublib.org/locations/63/,"(41.74928543110801, -87.72440869132882)",48,MON,8
Altgeld,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",955 E. 131st Street,Chicago,IL,60827,(312) 747-3270,https://www.chipublib.org/locations/4/,"(41.65719847558056, -87.59883829075173)",48,MON,8
West Lawn,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",4020 W. 63rd St.,Chicago,IL,60636,(312) 747-7381,https://www.chipublib.org/locations/77/,"(41.77875389246921, -87.72374295317714)",48,MON,8
Back of the Yards,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",2111 W. 47th St.,Chicago,IL,60609,(312) 747-9595,https://www.chipublib.org/locations/9/,"(41.808384423666354, -87.67756963874196)",48,MON,8
Rogers Park,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",6907 N. Clark St.,Chicago,IL,60626,(312) 744-0156,https://www.chipublib.org/locations/61/,"(42.00682227244734, -87.67330813329413)",48,MON,8
Garfield Ridge,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",6348 S. Archer Ave.,Chicago,IL,60638,(312) 747-6094,https://www.chipublib.org/locations/31/,"(41.792915800399726, -87.78013459023622)",48,MON,8
King,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",3436 S. King Dr.,Chicago,IL,60616,(312) 747-7543,https://www.chipublib.org/locations/41/,"(41.83175130060517, -87.61747228078738)",48,MON,8
Walker,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",11071 S. Hoyne Ave.,Chicago,IL,60643,(312) 747-1920,https://www.chipublib.org/locations/72/,"(41.69198346617567, -87.6739093032301)",48,MON,8
"Daley, Richard M.","Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",733 N. Kedzie Ave.,Chicago,IL,60612,(312) 743-0555,https://www.chipublib.org/locations/24/,"(41.894726658545295, -87.7063841773407)",48,MON,8
Humboldt Park,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",1605 N. Troy St.,Chicago,IL,60647,(312) 744-2244,https://www.chipublib.org/locations/36/,"(41.910332307504966, -87.70551941016132)",48,MON,8
Sulzer Regional Library,"Mon. - Thurs., 9-8; Fri. & Sat., 9-5; Sun., 1-5",4455 N. Lincoln Ave.,Chicago,IL,60625,(312) 744-7616,https://www.chipublib.org/locations/67/,"(41.962966859427524, -87.68469465366664)",38,MON,11
Blackstone,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",4904 S. Lake Park Ave.,Chicago,IL,60615,(312) 747-0511,https://www.chipublib.org/locations/12/,"(41.80549277198318, -87.58923748614112)",48,MON,8
North Pulaski,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",4300 W. North Ave.,Chicago,IL,60639,(312) 744-9573,https://www.chipublib.org/locations/55/,"(41.90989766464456, -87.73376822625004)",48,MON,8
West Town,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",1625 W. Chicago Ave.,Chicago,IL,60622,(312) 743-0450,https://www.chipublib.org/locations/79/,"(41.89594730478282, -87.66829305460979)",48,MON,8
Budlong Woods,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",5630 N. Lincoln Ave.,Chicago,IL,60659,(312) 742-9590,https://www.chipublib.org/locations/16/,"(41.98369797603738, -87.69631576617253)",48,MON,8
Lincoln Park,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",1150 W. Fullerton Ave.,Chicago,IL,60614,(312) 744-1926,https://www.chipublib.org/locations/44/,"(41.92540663614013, -87.65806218385674)",48,MON,8
West Englewood,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",1745 W. 63rd St.,Chicago,IL,60651,(312) 747-3481,https://www.chipublib.org/locations/76/,"(41.77928203936906, -87.66843344429459)",48,MON,8
Archer Heights,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5, Sun., 1-5",5055 S. Archer Ave.,Chicago,IL,60632,(312) 747-9241,https://www.chipublib.org/locations/5/,"(41.80110836194246, -87.72648385568911)",32,MON,8
